 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
0 1 same 16 0.6617463827133179 0.9370388388633728 0.6710208058357239 0.23198647797107697 0.2125796228647232 0.23626592755317688 0.24711385369300842
1 2 different 128 0.041584789752960205 0.053628504276275635 0.6940332055091858 0.3303808569908142 0.35380175709724426 0.3251393437385559 0.31220144033432007
2 3 same 128 0.26706504821777344 0.8325150609016418 0.4844006299972534 0.16404591500759125 0.206210196018219 0.10031846910715103 0.18560907244682312
3 4 different 16 0.45127761363983154 0.48233938217163086 0.09337323904037476 0.42572319507598877 0.40565288066864014 0.44625794887542725 0.4252587556838989
4 5 same 64 0.5337668657302856 0.26069241762161255 0.11412477493286133 0.2479100227355957 0.263833612203598 0.22462181746959686 0.2552746832370758
5 6 different 32 0.8304590582847595 0.4137803316116333 0.44149625301361084 0.21058917045593262 0.1947651207447052 0.22780652344226837 0.20919586718082428
6 7 same 16 0.9712625741958618 0.7973473072052002 0.5804783701896667 0.20488321781158447 0.20023885369300842 0.1834195852279663 0.23099124431610107
7 8 different 32 0.8237384557723999 0.35917192697525024 0.7170401215553284 0.17572319507598877 0.18899282813072205 0.19227707386016846 0.1458996832370758
8 9 same 256 0.16165214776992798 0.38882923126220703 0.8628197908401489 0.18521098792552948 0.21546576917171478 0.1542595475912094 0.18590764701366425
9 10 same 256 0.5425501465797424 0.5953755378723145 0.734296441078186 0.15482351183891296 0.1364450603723526 0.14102308452129364 0.18700239062309265
10 11 same 512 0.16711962223052979 0.052510857582092285 0.6369723677635193 0.16470938920974731 0.17008359730243683 0.18919187784194946 0.13485270738601685
11 12 same 512 0.8684874176979065 0.44899624586105347 0.6458208560943604 0.13923168182373047 0.12430334091186523 0.1834195852279663 0.10997213423252106
12 13 different 16 0.29868775606155396 0.0980062484741211 0.3779065012931824 0.3783174455165863 0.34245622158050537 0.393710196018219 0.3987858295440674
13 14 same 16 0.5497772693634033 0.2423229217529297 0.6226133108139038 0.2364317923784256 0.24940286576747894 0.17127786576747894 0.2886146605014801
14 15 same 64 0.41980963945388794 0.919198751449585 0.8261848092079163 0.1542263776063919 0.09952229261398315 0.18501193821430206 0.1781449019908905
15 16 same 512 0.34125816822052 0.7801170349121094 0.33800143003463745 0.18915869295597076 0.21058917045593262 0.18003582954406738 0.17685110867023468
16 17 same 512 0.7655670642852783 0.06336671113967896 0.3879740238189697 0.2029923051595688 0.19048567116260529 0.20780254900455475 0.21068869531154633
17 18 different 128 0.7408715486526489 0.7844924926757812 0.22664833068847656 0.1957935243844986 0.22153662145137787 0.1813296228647232 0.18451432883739471
18 19 different 16 0.05017828941345215 0.24639028310775757 0.45958560705184937 0.653297483921051 0.6519705653190613 0.6616241931915283 0.6462977528572083
19 20 same 256 0.9058488607406616 0.6481615304946899 0.9808642268180847 0.1582736223936081 0.16470938920974731 0.18461385369300842 0.12549760937690735
20 21 different 64 0.8311863541603088 0.04135000705718994 0.12093228101730347 0.18414942920207977 0.18391719460487366 0.1511743664741516 0.21735668182373047
21 22 different 64 0.35173946619033813 0.9106625914573669 0.8294349908828735 0.20700637996196747 0.186604306101799 0.22850318253040314 0.20591162145137787
22 23 different 128 0.7358004450798035 0.7848034501075745 0.5656634569168091 0.17549097537994385 0.19864650070667267 0.14958201348781586 0.1782444268465042
23 24 same 16 0.06463813781738281 0.13131624460220337 0.9375445246696472 0.6092091202735901 0.6048964858055115 0.6059912443161011 0.6167396306991577
24 25 different 128 0.9900156855583191 0.6335355043411255 0.18072515726089478 0.14974786341190338 0.16162420809268951 0.1677945852279663 0.1198248416185379
25 26 same 128 0.12249869108200073 0.6660707592964172 0.7949090003967285 0.23596735298633575 0.23984873294830322 0.22999602556228638 0.23805733025074005
26 27 same 128 0.48892414569854736 0.2510364055633545 0.8520711660385132 0.16706477105617523 0.13276274502277374 0.20153264701366425 0.16689889132976532
27 28 same 64 0.24542927742004395 0.37274354696273804 0.20006227493286133 0.25573912262916565 0.2519904375076294 0.2550756335258484 0.2601512670516968
28 29 same 16 0.19944655895233154 0.4574212431907654 0.58658367395401 0.43504512310028076 0.42436304688453674 0.43391719460487366 0.4468550980091095
29 30 different 64 0.859392523765564 0.9432624578475952 0.34266024827957153 0.17054803669452667 0.10867834091186523 0.1957603543996811 0.2072054147720337
30 31 same 64 0.8568024635314941 0.5818533897399902 0.7969050407409668 0.17031581699848175 0.10579219460487366 0.19854697585105896 0.20660828053951263
31 32 different 32 0.48728305101394653 0.9565057754516602 0.2897818684577942 0.227242574095726 0.24313296377658844 0.23785828053951263 0.20073646306991577
32 33 same 512 0.051985979080200195 0.05201905965805054 0.025760233402252197 0.3980891704559326 0.4332205355167389 0.415505588054657 0.345541387796402
33 34 different 16 0.02126133441925049 0.17960035800933838 0.5979545712471008 0.6380705833435059 0.631170392036438 0.6415206789970398 0.6415206789970398
34 35 different 256 0.821000874042511 0.007486701011657715 0.9515401721000671 0.12861597537994385 0.125 0.1021098718047142 0.15873806178569794
35 36 same 512 0.3498203158378601 0.020990073680877686 0.9006311893463135 0.14606554806232452 0.11126592010259628 0.14102308452129364 0.18590764701366425
36 37 different 512 0.5614961385726929 0.6086105704307556 0.8717925548553467 0.11786756664514542 0.109375 0.10131369531154633 0.14291401207447052
37 38 same 256 0.31638145446777344 0.020632147789001465 0.1210552453994751 0.2188495248556137 0.21735668182373047 0.23895302414894104 0.20023885369300842
38 39 same 64 0.7848056554794312 0.6100051999092102 0.4253696799278259 0.1875331848859787 0.19964171946048737 0.1708797812461853 0.19207802414894104
39 40 different 128 0.7852412462234497 0.08698087930679321 0.7667289972305298 0.09948911517858505 0.09942276775836945 0.09962181746959686 0.09942276775836945
40 41 same 256 0.4816787838935852 0.015108346939086914 0.6155802011489868 0.17333465814590454 0.16590365767478943 0.20123407244682312 0.15286624431610107
41 42 different 16 0.08243274688720703 0.47328877449035645 0.6368114352226257 0.6329286098480225 0.6331608295440674 0.6361464858055115 0.6294785141944885
42 43 same 64 0.44046586751937866 0.14796000719070435 0.7636743187904358 0.18872743844985962 0.20023885369300842 0.20083598792552948 0.16510748863220215
43 44 same 64 0.5189915299415588 0.36651551723480225 0.2566823363304138 0.1748938411474228 0.19307324290275574 0.1145501583814621 0.21705812215805054
44 45 different 256 0.3084614872932434 0.7371839880943298 0.7007113695144653 0.14500398933887482 0.09912420064210892 0.18978901207447052 0.14609873294830322
45 46 different 256 0.45499974489212036 0.8634573817253113 0.05923265218734741 0.16713111102581024 0.16222134232521057 0.15993233025074005 0.1792396456003189
46 47 same 512 0.869135856628418 0.5507502555847168 0.6358239650726318 0.17432987689971924 0.19566082954406738 0.16431130468845367 0.16301751136779785
47 48 different 32 0.257742702960968 0.7173517346382141 0.4294179081916809 0.18557590246200562 0.24880573153495789 0.17058120667934418 0.13734076917171478
48 49 same 512 0.33575934171676636 0.00037938356399536133 0.04929763078689575 0.35572585463523865 0.3814689517021179 0.37241241335868835 0.3132961690425873
49 50 same 512 0.6345691680908203 0.8667240738868713 0.18741309642791748 0.19323910772800446 0.17555733025074005 0.21506766974925995 0.18909235298633575
50 51 same 512 0.8496240377426147 0.6795953512191772 0.27027857303619385 0.1707802563905716 0.1145501583814621 0.2011345475912094 0.19665604829788208
51 52 same 16 0.48178327083587646 0.7884436845779419 0.28495579957962036 0.3133293390274048 0.31628185510635376 0.2991640269756317 0.32454219460487366
52 53 same 128 0.6577911376953125 0.09992676973342896 0.36550766229629517 0.18046708405017853 0.19924363493919373 0.17685110867023468 0.16530652344226837
53 54 same 256 0.5691185593605042 0.11563843488693237 0.9818617105484009 0.17376591265201569 0.16401274502277374 0.1824243664741516 0.17486067116260529
54 55 same 128 0.24456846714019775 0.4519345164299011 0.684471845626831 0.17870886623859406 0.16908837854862213 0.20571258664131165 0.1613256335258484
55 56 different 16 0.4247170090675354 0.9953168034553528 0.7097294926643372 0.29836785793304443 0.33081209659576416 0.29637739062309265 0.2679140269756317
