 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
0 19 different tensor([16.]) 0.05017828941345215 0.24639028310775757 0.45958560705184937 0.6477574110031128 0.6432125568389893 0.6444068551063538 0.6556528806686401
1 24 same tensor([16.]) 0.06463813781738281 0.13131624460220337 0.9375445246696472 0.6097399592399597 0.6152468323707581 0.6070860028266907 0.6068869233131409
2 34 different tensor([16.]) 0.02126133441925049 0.17960035800933838 0.5979545712471008 0.6480228304862976 0.6554538011550903 0.6372412443161011 0.6513733863830566
3 42 different tensor([16.]) 0.08243274688720703 0.47328877449035645 0.6368114352226257 0.6332271695137024 0.6252985596656799 0.6436106562614441 0.6307722926139832
4 100 different tensor([16.]) 0.13672608137130737 0.3971853256225586 0.12926530838012695 0.6164410710334778 0.6191281676292419 0.6103702187538147 0.6198248267173767
5 132 different tensor([128.]) 0.0062329769134521484 0.05201750993728638 0.9526714086532593 0.6382364630699158 0.6353503465652466 0.6505772471427917 0.6287818551063538
6 133 different tensor([64.]) 0.03869718313217163 0.3750187158584595 0.04790842533111572 0.6402932405471802 0.6386345624923706 0.6557523608207703 0.6264928579330444
7 148 different tensor([512.]) 0.003180563449859619 0.35951220989227295 0.5424064993858337 0.6113654971122742 0.6125597357749939 0.6198248267173767 0.6017118096351624
8 168 same tensor([32.]) 0.013934493064880371 0.8906545042991638 0.057476580142974854 0.6984142661094666 0.6989450454711914 0.6952627301216125 0.7010350227355957
9 189 same tensor([32.]) 0.018912315368652344 0.661268949508667 0.06632357835769653 0.6853768825531006 0.6955612897872925 0.6966560482978821 0.6639131903648376
10 214 same tensor([32.]) 0.015401840209960938 0.033100008964538574 0.41034847497940063 0.6472930312156677 0.6539610028266907 0.649880588054657 0.6380374431610107
11 269 different tensor([16.]) 0.03426772356033325 0.5406294465065002 0.006826639175415039 0.6779789924621582 0.6886942386627197 0.6699841022491455 0.6752587556838989
12 294 different tensor([64.]) 0.03708523511886597 0.6434839963912964 0.005143404006958008 0.6838839650154114 0.6723726391792297 0.6833200454711914 0.6959593892097473
13 296 same tensor([128.]) 0.00895678997039795 0.05980038642883301 0.6825498342514038 0.606488823890686 0.6069864630699158 0.6153463125228882 0.5971337556838989
14 300 same tensor([128.]) 0.011814534664154053 0.294166624546051 0.43084394931793213 0.5800158977508545 0.5892714858055115 0.5763335824012756 0.5744426846504211
